Strawberry Angel Food Dessert,"Angel food cake pieces are topped with sweetened cream cheese, whipped topping and strawberries in this chilled, layered dessert."
Strawberry Spinach Salad I,This spinach and strawberry salad is topped with a fabulous homemade poppy seed dressing.
